13.12.2024 18:55:18 - Simulation: Step 400 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 401 done.   Volume: 11
13.12.2024 18:55:18 - Simulation: Step 402 done.   Volume: 11
13.12.2024 18:55:18 - Simulation: Step 403 done.   Volume: 11
13.12.2024 18:55:18 - Simulation: Step 404 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 405 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 406 done.   Volume: 9
13.12.2024 18:55:18 - Simulation: Step 407 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 408 done.   Volume: 11
13.12.2024 18:55:18 - Simulation: Step 409 done.   Volume: 10
13.12.2024 18:55:18 - Simulation: Step 410 done.   Volume: 11
